Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,CountryName
7188343,SA_0000001419,COUNTRY,DZA,YEAR,AFR,Africa,SEX,2004,SEX_FMLE,,,,,,,212,212.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Algeria
1034946,SA_0000001419,COUNTRY,JPN,YEAR,WPR,Western Pacific,SEX,2004,SEX_BTSX,,,,,,,90,90.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Japan
6976541,SA_0000001419,COUNTRY,ROU,YEAR,EUR,Europe,SEX,2004,SEX_MLE,,,,,,,3,,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Romania
4283516,SA_0000001419,COUNTRY,AUS,YEAR,WPR,Western Pacific,SEX,2004,SEX_FMLE,,,,,,,337,337.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Australia
4640958,SA_0000001419,COUNTRY,NLD,YEAR,EUR,Europe,SEX,2004,SEX_FMLE,,,,,,,383,383.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Netherlands
4024861,SA_0000001419,COUNTRY,POL,YEAR,EUR,Europe,SEX,2004,SEX_FMLE,,,,,,,256,256.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Poland
5924654,SA_0000001419,COUNTRY,GIN,YEAR,AFR,Africa,SEX,2004,SEX_FMLE,,,,,,,195,195.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Guinea
6506754,SA_0000001419,COUNTRY,LKA,YEAR,SEAR,South-East Asia,SEX,2004,SEX_FMLE,,,,,,,250,250.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Sri Lanka
2370611,SA_0000001419,COUNTRY,PNG,YEAR,WPR,Western Pacific,SEX,2004,SEX_FMLE,,,,,,,132,132.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Papua New Guinea
2773462,SA_0000001419,COUNTRY,ISR,YEAR,EUR,Europe,SEX,2004,SEX_MLE,,,,,,,1,,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Israel
