Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,CountryName
9628873,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,AUS,YEAR,WPR,Western Pacific,SEX,SEX_MLE,2020,,,,,,,9.1,9.1,,,,2023-04-20T07:33:05+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Australia
55899,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,BRN,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2020,,,,,,,0.6,0.59,,,,2023-04-20T07:33:07+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Brunei Darussalam
5334630,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,CPV,YEAR,AFR,Africa,SEX,SEX_MLE,2020,,,,,,,8.0,8.0,,,,2023-04-20T07:33:07+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Cabo Verde
287716,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,BGD,YEAR,SEAR,South-East Asia,SEX,SEX_FMLE,2020,,,,,,,6.5,6.5,,,,2023-04-20T07:33:05+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Bangladesh
7970696,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,COD,YEAR,AFR,Africa,SEX,SEX_BTSX,2020,,,,,,,1.0,1.0,,,,2023-04-20T07:33:09+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,"Congo, The Democratic Republic of the"
1246013,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,CHE,YEAR,EUR,Europe,SEX,SEX_FMLE,2020,,,,,,,2.1,2.1,,,,2023-04-20T07:33:21+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Switzerland
1688836,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,TUN,YEAR,EMR,Eastern Mediterranean,SEX,SEX_MLE,2020,,,,,,,2.2,2.2,,,,2023-04-20T07:33:22+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Tunisia
8651767,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,BEN,YEAR,AFR,Africa,SEX,SEX_BTSX,2020,,,,,,,0.9,0.93,,,,2023-04-20T07:33:06+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Benin
1959756,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,UGA,YEAR,AFR,Africa,SEX,SEX_BTSX,2020,,,,,,,2.1,2.1,,,,2023-04-20T07:33:22+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Uganda
7154829,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,OMN,YEAR,EMR,Eastern Mediterranean,SEX,SEX_MLE,2020,,,,,,,2.2,2.2,,,,2023-04-20T07:33:18+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Oman
6341918,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,IRQ,YEAR,EMR,Eastern Mediterranean,SEX,SEX_MLE,2020,,,,,,,1.2,1.2,,,,2023-04-20T07:33:13+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Iraq
8817804,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,CZE,YEAR,EUR,Europe,SEX,SEX_FMLE,2020,,,,,,,2.8,2.8,,,,2023-04-20T07:33:09+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Czechia
4528340,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,SOM,YEAR,EMR,Eastern Mediterranean,SEX,SEX_FMLE,2020,,,,,,,2.1,2.1,,,,2023-04-20T07:33:20+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Somalia
3415806,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,COL,YEAR,AMR,Americas,SEX,SEX_MLE,2020,,,,,,,1.2,1.2,,,,2023-04-20T07:33:08+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Colombia
8499803,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,SVN,YEAR,EUR,Europe,SEX,SEX_BTSX,2020,,,,,,,3.9,3.9,,,,2023-04-20T07:33:20+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Slovenia
8731459,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,CHN,YEAR,WPR,Western Pacific,SEX,SEX_MLE,2020,,,,,,,1.7,1.7,,,,2023-04-20T07:33:08+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,China
7652033,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,NLD,YEAR,EUR,Europe,SEX,SEX_BTSX,2020,,,,,,,4.3,4.3,,,,2023-04-20T07:33:17+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Netherlands
6671965,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,TGO,YEAR,AFR,Africa,SEX,SEX_BTSX,2020,,,,,,,1.4,1.4,,,,2023-04-20T07:33:22+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Togo
3356182,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,SOM,YEAR,EMR,Eastern Mediterranean,SEX,SEX_BTSX,2020,,,,,,,2.0,2.0,,,,2023-04-20T07:33:20+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Somalia
592134,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,FIN,YEAR,EUR,Europe,SEX,SEX_MLE,2020,,,,,,,3.8,3.8,,,,2023-04-20T07:33:11+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Finland
7042362,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,COD,YEAR,AFR,Africa,SEX,SEX_MLE,2020,,,,,,,1.3,1.3,,,,2023-04-20T07:33:09+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,"Congo, The Democratic Republic of the"
