Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,CountryName
9170495,SA_0000001420,COUNTRY,PNG,WPR,YEAR,Western Pacific,SEX,SEX_MLE,2004,,,,,,,67,67.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Papua New Guinea
903833,SA_0000001420,COUNTRY,UGA,AFR,YEAR,Africa,SEX,SEX_MLE,2004,,,,,,,91,91.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Uganda
4238513,SA_0000001420,COUNTRY,MRT,AFR,YEAR,Africa,SEX,SEX_MLE,2004,,,,,,,81,81.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Mauritania
7806760,SA_0000001420,COUNTRY,IRL,EUR,YEAR,Europe,SEX,SEX_BTSX,2004,,,,,,,173,173.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Ireland
8660363,SA_0000001420,COUNTRY,AUS,WPR,YEAR,Western Pacific,SEX,SEX_MLE,2004,,,,,,,183,183.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Australia
7070661,SA_0000001420,COUNTRY,PAN,AMR,YEAR,Americas,SEX,SEX_MLE,2004,,,,,,,58,58.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Panama
2398685,SA_0000001420,COUNTRY,LVA,EUR,YEAR,Europe,SEX,SEX_MLE,2004,,,,,,,186,186.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Latvia
7766970,SA_0000001420,COUNTRY,ERI,AFR,YEAR,Africa,SEX,SEX_FMLE,2004,,,,,,,31,31.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Eritrea
4834556,SA_0000001420,COUNTRY,KIR,WPR,YEAR,Western Pacific,SEX,SEX_FMLE,2004,,,,,,,2,,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Kiribati
2233132,SA_0000001420,COUNTRY,PAN,AMR,YEAR,Americas,SEX,SEX_FMLE,2004,,,,,,,71,71.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Panama
