Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,CountryName
6923374,NCD_HYP_PREVALENCE_A,COUNTRY,IRQ,EMR,YEAR,Eastern Mediterranean,SEX,SEX_MLE,1990,,,,,,,42.2 [26.4-58.7],42.2,26.4,58.7,,2021-08-20T15:36:49+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Iraq
6927550,NCD_HYP_PREVALENCE_A,COUNTRY,USA,AMR,YEAR,Americas,SEX,SEX_MLE,1990,,,,,,,32.9 [28.3-37.5],32.9,28.3,37.5,,2021-08-20T16:06:29+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,United States of America
6931532,NCD_HYP_PREVALENCE_A,COUNTRY,PLW,WPR,YEAR,Western Pacific,SEX,SEX_MLE,1990,,,,,,,41.9 [26.7-58.8],41.9,26.7,58.8,,2021-08-20T15:50:36+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Palau
6951636,NCD_HYP_PREVALENCE_A,COUNTRY,NOR,EUR,YEAR,Europe,SEX,SEX_FMLE,1990,,,,,,,33.8 [26.7-41.4],33.8,26.7,41.4,,2021-08-20T15:49:27+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Norway
6969422,NCD_HYP_PREVALENCE_A,COUNTRY,COD,AFR,YEAR,Africa,SEX,SEX_BTSX,1990,,,,,,,33.0 [21.7-45.3],33.0,21.7,45.3,,2021-08-20T15:26:51+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Dem. Rep. Congo
6973206,NCD_HYP_PREVALENCE_A,COUNTRY,KNA,AMR,YEAR,Americas,SEX,SEX_FMLE,1990,,,,,,,38.4 [23.3-55.0],38.4,23.3,55.0,,2021-08-20T15:54:37+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Saint Kitts and Nevis
6977553,NCD_HYP_PREVALENCE_A,COUNTRY,SWE,EUR,YEAR,Europe,SEX,SEX_BTSX,1990,,,,,,,38.9 [34.3-43.6],38.9,34.3,43.6,,2021-08-20T16:00:10+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Sweden
7016088,NCD_HYP_PREVALENCE_A,COUNTRY,CIV,AFR,YEAR,Africa,SEX,SEX_MLE,1990,,,,,,,37.8 [22.4-55.7],37.8,22.4,55.7,,2021-08-20T15:25:11+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Côte d'Ivoire
7050597,NCD_HYP_PREVALENCE_A,COUNTRY,SVK,EUR,YEAR,Europe,SEX,SEX_BTSX,1990,,,,,,,46.0 [35.1-56.9],46.0,35.1,56.9,,2021-08-20T15:57:31+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Slovakia
7062969,NCD_HYP_PREVALENCE_A,COUNTRY,TKM,EUR,YEAR,Europe,SEX,SEX_FMLE,1990,,,,,,,38.3 [22.7-54.8],38.3,22.7,54.8,,2021-08-20T16:03:56+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Turkmenistan
7065850,NCD_HYP_PREVALENCE_A,COUNTRY,MHL,WPR,YEAR,Western Pacific,SEX,SEX_FMLE,1990,,,,,,,29.4 [18.1-42.7],29.4,18.1,42.7,,2021-08-20T15:43:57+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Marshall Islands
7079155,NCD_HYP_PREVALENCE_A,COUNTRY,BEN,AFR,YEAR,Africa,SEX,SEX_FMLE,1990,,,,,,,33.9 [19.6-50.4],33.9,19.6,50.4,,2021-08-20T15:18:46+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Benin
7086260,NCD_HYP_PREVALENCE_A,COUNTRY,HUN,EUR,YEAR,Europe,SEX,SEX_MLE,1990,,,,,,,55.3 [38.5-71.2],55.3,38.5,71.2,,2021-08-20T15:35:28+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Hungary
7144839,NCD_HYP_PREVALENCE_A,COUNTRY,NZL,WPR,YEAR,Western Pacific,SEX,SEX_BTSX,1990,,,,,,,34.4 [26.8-42.0],34.4,26.8,42.0,,2021-08-20T15:47:45+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,New Zealand
7201864,NCD_HYP_PREVALENCE_A,COUNTRY,BGD,SEAR,YEAR,South-East Asia,SEX,SEX_BTSX,1990,,,,,,,29.1 [20.0-39.6],29.1,20.0,39.6,,2021-08-20T15:17:23+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Bangladesh
7227631,NCD_HYP_PREVALENCE_A,COUNTRY,VUT,WPR,YEAR,Western Pacific,SEX,SEX_BTSX,1990,,,,,,,33.6 [23.0-45.9],33.6,23.0,45.9,,2021-08-20T16:07:30+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Vanuatu
7242247,NCD_HYP_PREVALENCE_A,COUNTRY,KEN,AFR,YEAR,Africa,SEX,SEX_FMLE,1990,,,,,,,34.7 [20.9-50.5],34.7,20.9,50.5,,2021-08-20T15:38:58+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Kenya
7272331,NCD_HYP_PREVALENCE_A,COUNTRY,BTN,SEAR,YEAR,South-East Asia,SEX,SEX_BTSX,1990,,,,,,,36.6 [26.3-47.6],36.6,26.3,47.6,,2021-08-20T15:19:07+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Bhutan
7280310,NCD_HYP_PREVALENCE_A,COUNTRY,THA,SEAR,YEAR,South-East Asia,SEX,SEX_FMLE,1990,,,,,,,23.1 [16.5-30.9],23.1,16.5,30.9,,2021-08-20T16:01:23+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Thailand
7317830,NCD_HYP_PREVALENCE_A,COUNTRY,MEX,AMR,YEAR,Americas,SEX,SEX_BTSX,1990,,,,,,,29.5 [24.1-35.3],29.5,24.1,35.3,,2021-08-20T15:44:46+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Mexico
7330991,NCD_HYP_PREVALENCE_A,COUNTRY,HUN,EUR,YEAR,Europe,SEX,SEX_FMLE,1990,,,,,,,46.3 [30.9-62.4],46.3,30.9,62.4,,2021-08-20T15:35:27+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Hungary
7335578,NCD_HYP_PREVALENCE_A,COUNTRY,CAF,AFR,YEAR,Africa,SEX,SEX_FMLE,1990,,,,,,,38.4 [22.5-55.8],38.4,22.5,55.8,,2021-08-20T15:22:44+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Central African Rep.
7352445,NCD_HYP_PREVALENCE_A,COUNTRY,CRI,AMR,YEAR,Americas,SEX,SEX_FMLE,1990,,,,,,,35.2 [21.7-50.3],35.2,21.7,50.3,,2021-08-20T15:24:55+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Costa Rica
7367524,NCD_HYP_PREVALENCE_A,COUNTRY,LCA,AMR,YEAR,Americas,SEX,SEX_FMLE,1990,,,,,,,35.6 [21.5-51.3],35.6,21.5,51.3,,2021-08-20T15:54:54+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Saint Lucia
7373312,NCD_HYP_PREVALENCE_A,COUNTRY,COD,AFR,YEAR,Africa,SEX,SEX_FMLE,1990,,,,,,,32.4 [17.3-49.6],32.4,17.3,49.6,,2021-08-20T15:26:52+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Dem. Rep. Congo
7385891,NCD_HYP_PREVALENCE_A,COUNTRY,CPV,AFR,YEAR,Africa,SEX,SEX_MLE,1990,,,,,,,44.3 [27.5-61.7],44.3,27.5,61.7,,2021-08-20T15:21:40+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Cabo Verde
7389648,NCD_HYP_PREVALENCE_A,COUNTRY,NPL,SEAR,YEAR,South-East Asia,SEX,SEX_FMLE,1990,,,,,,,32.5 [19.0-47.5],32.5,19.0,47.5,,2021-08-20T15:47:14+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Nepal
7394241,NCD_HYP_PREVALENCE_A,COUNTRY,KOR,WPR,YEAR,Western Pacific,SEX,SEX_BTSX,1990,,,,,,,33.7 [26.1-41.7],33.7,26.1,41.7,,2021-08-20T15:53:16+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,South Korea
7414754,NCD_HYP_PREVALENCE_A,COUNTRY,NOR,EUR,YEAR,Europe,SEX,SEX_MLE,1990,,,,,,,45.3 [36.0-54.9],45.3,36.0,54.9,,2021-08-20T15:49:28+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Norway
7417888,NCD_HYP_PREVALENCE_A,COUNTRY,GIN,AFR,YEAR,Africa,SEX,SEX_MLE,1990,,,,,,,38.8 [22.4-56.8],38.8,22.4,56.8,,2021-08-20T15:34:03+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Guinea
7418069,NCD_HYP_PREVALENCE_A,COUNTRY,MYS,WPR,YEAR,Western Pacific,SEX,SEX_MLE,1990,,,,,,,33.6 [22.7-45.5],33.6,22.7,45.5,,2021-08-20T15:42:53+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Malaysia
7434258,NCD_HYP_PREVALENCE_A,COUNTRY,NIC,AMR,YEAR,Americas,SEX,SEX_BTSX,1990,,,,,,,32.1 [22.1-43.4],32.1,22.1,43.4,,2021-08-20T15:48:01+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Nicaragua
7448790,NCD_HYP_PREVALENCE_A,COUNTRY,ROU,EUR,YEAR,Europe,SEX,SEX_MLE,1990,,,,,,,49.3 [33.7-65.1],49.3,33.7,65.1,,2021-08-20T15:53:50+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Romania
7472448,NCD_HYP_PREVALENCE_A,COUNTRY,DEU,EUR,YEAR,Europe,SEX,SEX_BTSX,1990,,,,,,,48.1 [43.1-53.0],48.1,43.1,53.0,,2021-08-20T15:32:36+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Germany
7507355,NCD_HYP_PREVALENCE_A,COUNTRY,IND,SEAR,YEAR,South-East Asia,SEX,SEX_FMLE,1990,,,,,,,29.4 [20.1-39.6],29.4,20.1,39.6,,2021-08-20T15:35:59+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,India
7510116,NCD_HYP_PREVALENCE_A,COUNTRY,VNM,WPR,YEAR,Western Pacific,SEX,SEX_BTSX,1990,,,,,,,25.3 [17.6-34.0],25.3,17.6,34.0,,2021-08-20T16:08:14+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Vietnam
7514872,NCD_HYP_PREVALENCE_A,COUNTRY,KGZ,EUR,YEAR,Europe,SEX,SEX_BTSX,1990,,,,,,,37.4 [26.7-48.4],37.4,26.7,48.4,,2021-08-20T15:39:47+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Kyrgyzstan
7517490,NCD_HYP_PREVALENCE_A,COUNTRY,STP,AFR,YEAR,Africa,SEX,SEX_MLE,1990,,,,,,,42.7 [26.3-60.1],42.7,26.3,60.1,,2021-08-20T15:55:42+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Sao Tome and Principe
7519822,NCD_HYP_PREVALENCE_A,COUNTRY,KIR,WPR,YEAR,Western Pacific,SEX,SEX_FMLE,1990,,,,,,,30.6 [17.1-46.2],30.6,17.1,46.2,,2021-08-20T15:39:15+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Kiribati
7525303,NCD_HYP_PREVALENCE_A,COUNTRY,TUN,EMR,YEAR,Eastern Mediterranean,SEX,SEX_MLE,1990,,,,,,,31.0 [20.6-42.1],31.0,20.6,42.1,,2021-08-20T16:03:19+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Tunisia
7540414,NCD_HYP_PREVALENCE_A,COUNTRY,PLW,WPR,YEAR,Western Pacific,SEX,SEX_BTSX,1990,,,,,,,40.0 [29.3-51.2],40.0,29.3,51.2,,2021-08-20T15:50:35+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Palau
7540871,NCD_HYP_PREVALENCE_A,COUNTRY,BHR,EMR,YEAR,Eastern Mediterranean,SEX,SEX_FMLE,1990,,,,,,,36.3 [24.8-49.4],36.3,24.8,49.4,,2021-08-20T15:17:07+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Bahrain
